Part_No,Quantity
Air Filter 17801-54030 DAIICHI,1
BRK PAD FR SP-1416 MP3710,1
Shock Absorber FR RH 334338 TOP,1
Shock Absorber Fr/Lh 334339Top,1
BRAKE PAD FRONT MP3474N,3
